Accession #,Panel #,Title,Description,"PUBLICATION
Info as of April 15, 2025",page number
3073,6,Embroidery Pattern,"""Full Crosses"" from the Museum of Eastern Executives.",Promin April 1968,31
3076,6,Embroidery Pattern,Bukovynian Styling,Promin July-August 1968,26
3082,6,Children Playing in the Water,Graphic Illustration. Unknown Artist,Promin August-September 1965,22
3083,6,Embroidery Pattern,"Labeled as ""Suitable for modern clothing"".",Promin August-September 1965,32
3107,6,Doreen and Iris Sulyma ,"Modeling Embroidered Outfits. Edmonton, AB",Promin December 1963,32
3133,6,Embroidery Pattern,Embroidered pillow with Yavorivka stitch. Submitted by Sophia Senyshyn.,Promin May 1961,33
3155,6,"""The Boy and his Violin"" ",Story illustration by L. Tunha,Promin July 1972,19
3156,6,"""Singing Artist"" Ceramic Figurine",Ceramic Figurine by D. Hanza.,Promin August-September 1972,8
3164,6,Embroidery Pattern,"""Flowers"". Cross Stitch Pattern . Drawn and submitted by Ivanna Wachna.
Toronto",Promin September 1984,40
3183,6,Embroidery Pattern,,Promin July 1972,31
3184,6,Embroidery Pattern,,Promin December 1970,29
3191,6,Embroidery Pattern,Submitted by UMC-Winnipeg.,Promin November 1960,inside back cover
3196,6,Embroidery Pattern,,Promin June 1976,9
3198,6,Women's World 1934 Congress,"Stanislav, Ukraine.",Promin September 1984,cover
3206,6,Embroidery Pattern,,Promin December 1963,33
3214,6,Embroidery Pattern,"Cross-stitch pattern for a dress. Drawn and submitted  by Ivanna Wachna.
Toronto",Promin April 1970,31
3225,6,Embroidery Pattern,"Submitted by UMC-Ontario. Drawn by Ivanna Wachna.
Toronto",Promin May 1982,32
3238,6,Embroidery Pattern,,Promin May 1974,31
3260,6,Stitch Sample,Yavorivka stitch.,Unknown Publication,
3290,6,Group Photo ,Unidentified,Promin,
3401,6,"""Pieta"" ",Painting by Myron Levycky,Ukrainians in Canada (1st edition) by Olha Woycenko 1967,161 i4
3405,6,Redwood Bridge in Winnipeg,"Redwood Bridge in north Winnipeg. Holy Trinity Ukrainian Orthodox Cathedral in the background. 
Sketch by Peter Dobush, 
1966.",Ukrainians in Canada (1st and 2nd editions) by Olha Woycenko 1967,ix;ix
3420,6,Group Photo ,Members of the Ukrainian Free University,Unknown Publication,
3438,6,Ukrainian Folk Art Exhibit,"Odessa Pavillion during the Caravan Festival. St. Vladimir Institute, Toronto.
Summer 1972",Promin November 1972,cover
3439,6,"""Lisova Pisnia""","SEt Design for the ballet ""Lisova Pisnia"" in Kyiv, Ukraine.",Promin February 1970,cover
3443,6,Mrs. Halya Hnatyshyn  ,"Representing the National Council of Women of Canada,at the Conference of International Women's Associations in Lima, Peru. 
1972.",Promin February 1973,cover
3464,6,Mika Harasovsky-Dachyshyn ,Landscape artist in her studio.,Promin March 1962,5
3519,6,Architectural Drawing of an Orthodox Church,Unidentified,Unknown Publication,
3618,6,Two Priests,"by the Altar in front of an iconostas.
Unidentified",Unknown Publication,
3625,6,Metropolitan Ilarion & his Altar Boys,,Unknown Publication,
3636,6,Iconostas ,"Descent of the Holy Spirit Iconistas in Regina, SK",Unknown Publication,
3638,6,Ukrainian Pavillion,"World Exhibition in Chicago
1933.",Unknown Publication,
3666,6,Portrait of a Priest,Unidentified,Unknown Publication,
3712,6,Procession of Young Students ,Unidentified,Unknown Publication,
3779,6,Graduation Photo,Unidentified,Unknown Publication,
3799,6,Portrait of a Man,Unidentified,Unknown Publication,
3820,6,Portrait of a Woman,Unidentified,Unknown Publication,
3828,6,Portrait of a Man,Unidentified,Unknown Publication,
3857,6,Portrait of a Man,Unidentified,Unknown Publication,
3883,6,Portrait of a Man,Unidentified,Unknown Publication,
3928,6,"Петро Немий
Peter Nemay",,Unknown Publication,
3953,6,Portrait of a Woman,Unidentified,Unknown Publication,
3956,6,Portrait of a Woman,Unidentified,Unknown Publication,
3962,6,Portrait of a Woman,Unidentified,Unknown Publication,
4025,6,"""Mariyka""","Promotional photo for Avramenko's movie ""Mariyka"". Featuring the actress Lydia Berezovska.",Unknown Publication,
4033,6,"Одарка Троцкі
Odarka Trosky",,Unknown Publication,
4049,6,"Савеля Стечишин
Savella Stechishin",,Unknown Publication,
4064,6,Portrait of a Woman,Unidentified,Unknown Publication,
4096,6,Portrait of a Woman,Unidentified,Unknown Publication,
4106,6,Portrait of a Woman,Unidentified,Unknown Publication,
4118,6,Portrait of a Woman,Unidentified,Unknown Publication,
4177,6,Portrait of a Woman,Unidentified,Unknown Publication,
4208,6,Portrait of a Woman,Unidentified,Unknown Publication,
4218,6,Portrait of a Woman,Unidentified,Unknown Publication,
4224,6,Portrait of a Woman,Unidentified,Unknown Publication,
4236,6,Portrait of a Woman,Unidentified,Unknown Publication,
4238,6,Portrait of a Woman,Unidentified,Unknown Publication,
4281,6,Writing a Pysanka (Easter Egg),Unidentified,Unknown Publication,
4288,6,Portrait of a Woman ,Unidentified,Unknown Publication,
4301,6, Adolph & Maria Venger,Wedding Photograph,Unknown Publication,
4332,6,"Василь і Марія Никифорчин
Vasyl & Maria Nykyforshyn",Anniversary Photograph,Unknown Publication,
4363,6,"""Smiling Soldier"" War Memorial  Manitoba Legislature","Manitoba Legislature, Winnipeg, MB","Калиндар Українського голосу 
Ukrainian Voice Almanac 
1945",cover
4366,6,100 Hryvni Bill,,"Traditional Ukrainian Cookery by Savella Stechishin 
(1957)",47
4383,6,"Ой у полі верба
In the Field Stands a Willow Tree","Ukrainian Folksong
[Oi y poli verba]",Unknown Publication,
4393,6,Music Score,Musical score by Tehon Makarsevsky.,Unknown Publication,
4430,6,Mexican Tourists,Unidentified,Unknown Publication,
4437,6,Mexican Tourists,Unidentified,Unknown Publication,
4532,6,"""Arkan""",Painting of men dancing the Arkan. Woodcut by Георгій Якутович/ Gregory Yakutovych (1930-2000),Unknown Publication,
4564,6,CYMK Easter Bake Sale,"L-R Eileen Antonishka, N. Stashyn, K Lyshak","25th anniversary of St. Mary's Ukrainian Greek Orthodox Church North Surrey, B.C.
1971",44
4566,6,Ukrainian Handicrafts,"Needlework display, in Sudbury, ON.",Unknown Publication,
4645,6,"«НАШИМ ДІТЯМ - ОПДЛ» 
Our Children - OPDL) ","Graphic image for Children's page in a publication.
Unknown Artist",Unknown Publication,
4650,6,Floral Bouquet,Unknown Artist,"Калиндар Українського голосу 
Ukrainian Voice Almanac 
1948",120
4660,6,"«ВІРА, ЧЕСТЬ, СВІДОМІСТЬ, ВІДВАГА»
Faith, Honour, Consciousness, Courage ",Page Header,Unknown Publication,
4662,6,Laurel Wreath,Frame,Unknown Publication,
4669,6,Alberta Legislature,Page Header for Alberta section of a publication,Unknown Publication,
4687,6,Ex Libris for Artist Van Kotuisky,,Unknown Publication,
4697,6,Ukrainian Institute Crest,,Unknown Publication,
4700,6,1000 Years of Christianity in Ukraine,1988,Unknown Publication,
4709,6,Christmas Tree,"Graphic image for Children's page in a publication.
Unknown Artist",Unknown Publication,
4725,6,Ukrainian Dancing Couple,Illustration by Wadym Dobrolige,Traditional Ukrainian Cookery by Savella Stechishin (1957),
4737,6,Two Blades of Wheat,Unknown Artist,Unknown Publication,
4742,6,Floral Stamp  ,"Motif appears at end of the poem ""Помолимось [Pomolymos]"" by Yuri Klen","Калиндар Українського голосу 
Ukrainian Voice Almanac 
1954",51
4777,6,Floral Cross Motif,,Unknown Publication,
4818,6,Portrait of Two Pioneer Women,Unidentified,Unknown Publication,
4846,6,Self-portrait of Taras Shevchenko (Cropped),"Taras Shevchenko's self-portrait was created in Orenburg, russia, and mailed to Andrii Lyzohub on November 29th, 1849—Sepia on paper.",Unknown Publication,
4851,6, Taras Shevchenko,"OIl Painting by Ivan Kramskoi 
1871",Unknown Publication,
4855,6,Taras Shevchenko Monument  ,"Manitoba Legislative Grounds, Winnipeg, MB","Калиндар Українського голосу 
Ukrainian Voice Almanac 
1962",4
4859,6,Taras Shevchenko's Silhouette,Block 2 - Background ,Unknown Publication,
4868,6,"Тарас Шевченко
Taras Shevchenko ",,Unknown Publication,
4870,6,In the Garden,Taras Shevchenko greeting a visitor. in the Garden,Unknown Publication,
4877,6,Man Holding a Book,Unidentified,Unknown Publication,
4878,6,Antique Ragtop Automobile,c. 1928,Unknown Publication,
4894,6,A Man in Front of a Log Building,Unidentified,Unknown Publication,
4898,6,Group Photo,"Students in Oshawa, Ontario",Unknown Publication,
4968,6,"""Казашка Катя""
Kazakh Girl, Katya ",Drawing by Taras Shevchenko between 1856 and 1857—Sepia on paper. ,Unknown Publication,
4984,6,Ukrainian Village Scene,Unknown Artist,Unknown Publication,
4999,6,Portrait of a Woman,Unidentified,Unknown Publication,
5000,6,Anniversary Couple,Unidentified,Unknown Publication,
5001,6,Bishop Nykyta Budka, c. 1913,Unknown Publication,
5016,6,Two Women,Unidentified,Unknown Publication,
5030,6,Kniaz Costume,Unidentified,Unknown Publication,
5032,6,Woman Seated on a Rock,Unidentified,Unknown Publication,
5038,6,Fashion Illustration  ,Unknown Artist,Unknown Publication,
5048,6,Two Figures ,Unidentified,Unknown Publication,
5082,6,Ukrainian Dancer, Posed in Central Ukraine Costume,Unknown Publication,
5106,6,Blooming Flower,,Unknown Publication,
5107,6,1933 Mass Murder of Ukrainians,Illustration by by Myron Levytsky,Unknown Publication,
5114,6," ""ЗОРЕПАД""
""STARFALL""  ","Галина Мазепа 
Artist: Halyna Mazepa
1967",Unknown Publication,
5115,6,Four Boys Around a Table,Unknown Artist,Unknown Publication,
5120,6,Bumble Bee & Flowers,"Graphic image used to fill empty spaces in children's section of variou publications
Unknown Artist",Unknown Publication,
5121,6,Child Reading Among the Poppies,"Graphic image used to fill empty spaces in children's section of variou publications
Unknown Artist",Unknown Publication,
5147,6,Gold Coins,Unidentified,Unknown Publication,
5163,6,UWAC Event,Unidentified,Unknown Publication,
5197,6,"Си́мон (Семен) Васильович Петлюра
Symone Petliura","Supreme Commander of the Ukrainian People's Army (UNA) and led the Ukrainian People's Republic during the Ukrainian War of Independence, a part of the wider Russian Civil War.
с 1920",Unknown Publication,
5200,6,Evelyn Matiowski,,Unknown Publication,
5229,6,Business Card for Susan B. Ivanhoe,Funeral Director,Unknown Publication,
5244,6,Commemorative Ribbon,"17th congress of Ukrainian Catholics of Canada. July, 1992.",Unknown Publication,
5246,6,Commemorative Ribbon,"Visitation by Metropolitan Wasyl. Holy Spirit Ukrainian Orthodox Church, Regina.",Unknown Publication,
5389,6,Commemorative Ribbon,25th anniversary and canonical visitation to St. John the Apostal Ukrainian Catholic Church in Winnipeg.,Unknown Publication,
5400,6,CYMK Group Photo ,Rev Yurkiwsky sitting in the front row with youth members,Unknown Publication,
5401,6,Ukrainian Handicraft Exhibit,Featuring examples from the Carpathian region of Ukraine. Hosted by the Ukrainian Museum of Canada - Saskatoon,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",66
5407,6,Female Pianist & Violinist,Unidentified,Unknown Publication,
5411,6,Trident Press Staff,Trident Press Staff c. 1970,Unknown Publication,
5412,6,Group Photo 1955,Unidentified,Unknown Publication,
5453,6,Large Audience at a Concert,Unknown Event and Location,Unknown Publication,
5467,6,Group Portrait  ,Unidentified,Unknown Publication,
5468,6,Historic Photograph,"Left to Right: Sir Winston Churchill, Canadian Governor General Earl of Athlone, his wife Princess Alice, and Prime Minister of Canada Wiliam Lyon Mackenzie.",Unknown Publication,
5492,6,Group Portrait ,"Metropolitan Ilarion, and Bishop Andriy are in the front row.",Unknown Publication,
5529,6,Nick & Anna Bukowsky,"From Saskatoon, SK. Donor $1000 to the Ukrainian Canadian Congress (UCC)",Unknown Publication,
5569,6,"""You belong to Canada... and Canada belongs to you""",Promotional Graphics for Canadian Federal Government Multiculturalism Program,Unknown Publication,
5627,6,Embroidery Pattern,,Unknown Publication,
5633,6,Embroidery Pattern,Floral Motif,Unknown Publication,
5634,6,Hand Drawn Map of a Village - 1952,,Unknown Publication,
5636,6,Portrait of a Woman,Unidentified,Unknown Publication,
5637,6,Portrait of a Man,Unidentified,Unknown Publication,
5695,6,Financial Info Graphic,,Unknown Publication,
5698,6,St. Knaynia Olha,,Unknown Publication,
5699,6,Nadia Pavlychenko Buchan  ,"Founder of Pavlychenko Contemporary Dance Studio in Toronto. Trained under Martha Graham, Jose Limon, Merce Cuningham, Alvin Ailey, among others.",Ukrainians in Canada (1st edition) by Olha Woycenko 1967,8
5748,6,Portrait of a Woman,Unidentified,Unknown Publication,
5749,6,"Street view of""Рідне Слово"" [Ridne Slovo]  Building","«Рідне Слово» (Полтава) — щоденна літературно-громадська і політична газета. Виходила у Полтаві у 1918–1919 роках. Редактор П. Тищенко.
Daily community and political newspaper in Poltava. Published 1918-1919. Editor P. Tyshchenko.",Unknown Publication,
5778,6,Prosvita Hall ,"Winnipeg, MB",Unknown Publication,
5779,6,Newsletter Header c.1921,"Орган Українського Православного Братства ім. Митрополита Василя Липківського
Organ of the Ukrainian Orthodox Brotherhood named after Metropolitan Vasyl Lypkivsky.","«Церква й Життя» (Church and Lifestyle)
1921",
8,7,Embroidery Pattern,Floral Pattern,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",74;69
28,7,Embroidered Shopping Bag,"Illustration of an embroidered shopping bag. 
Unknown Artist",Ukrainian Embroidery Designs and Stitches  (1957),96
31,7,Embroidered Tablecloth,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",15;77
36,7,Embroidered Shirt,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",65
49,7,Embroidery Sample,,Ukrainian Embroidery Designs and Stitches  (1957),60
71,7,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),74
72,7,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),125
81,7,Embroidery Sample,,Ukrainian Embroidery Designs and Stitches  (1957),54
108,7,Girl in an Embroidered Dress,Unidentified,Ukrainian Embroidery Designs and Stitches  (1957),128
117,7,Cover,Block 1 of 2 (rust ink),"Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",title page
120,7,"""Giselle""","Celia Franca, artistic director and soloist of Canadian National Ballet in ballet ""Giselle"".","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",54
135,7,"""Hallelujah""","""Hallelujah"", choreographed and danced by Harald Kreutzberg (Austria).","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",91
160,7,"""Night Journey - The Daughters of Night""","Night Journey - ""The Daughters of Night"", danced by the Group of Martha Graham. (USA).","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",97
166,7,"""Verkhovyna""  ",Verchovyna dancer.,"Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova","extra, 37"
168,7,"Іван Виговський
Ivan Vyhovsky",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",139
179,7,"Суздальський князь Андрій Боголюбський
Suzdal Prince Andrew Boholyubsky",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",37
187,7,"Богдан Хмельницький
Bohdan Khmelnytskiy",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",131
195,7,"Отаман Іван Підкова
Ottoman Ivan Pidkova",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",103
223,7,Soldier,Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",
235,7,Soldiers on Horseback,Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",
254,7,Hutzul Woodcuts & Podilsky Weaving,Unknown Artisans,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
",7
314,7,Cover,Unknown Artist,"Її Окрадину Збудили - Людмила Коваленко
They Awoke in her What Was Stolen by Ludmila Kovalenko
1968  ",cover
319,7,Cars in Front of a Building,Unknown Location,Unknown Publication,
323,7,"Піч
Peech",Outdoor Clay Oven,Unknown Publication,
360,7,Young Women ,"Dressed to dance the ""Hopak""",Unknown Publication,
424,7,"Василь Сич
Vasyl(William) Sich ",,Unknown Publication,
471,7,Mr. & Mrs. Rezner,,Unknown Publication,
548,7,Скоморовські - Содворі ,Couple with their wedding cake,Unknown Publication,
583,7,Portrait of a Woman,Unidentified,Unknown Publication,
601,7,"Григорій і Анна Іванюк
Gregory & Anna Iwaniuk",,Unknown Publication,
694,7," Пані Данильчук
Ms. Danylchuk",,Unknown Publication,
739,7,"Степан Тучанський
Stephan Tuchansky",,Unknown Publication,
750,7,"Дмитро Бахняк
Dmytro Bаhniak ",,Unknown Publication,
895,7,"Пан і Пані Чайковські
Mr. & Mrs Chaykowsky",Wedding Anniversary,Unknown Publication,
900,7,"Петро Демйон
Peter Dameon",,Unknown Publication,
930,7,"Григорі Пилипчук
Gregory Filipchuk",,Unknown Publication,
935,7,"Дp Павло Симчич
Dr. Paul Symchych",,Unknown Publication,
950,7,"Марія Благий
Maria Blahiy",,Unknown Publication,
1000,7,"Пан і Пані Чарнецькі
Mr. & Mrs. Charnetsky",,Unknown Publication,
1011,7,"Йосиф і Софія Семенців
 Joseph & Sophia Sementz",,Unknown Publication,
1037,7,"Василь і Марія Юзик
William & Mary Yuzyk",,Unknown Publication,
1050,7,"Михайло і Софія Різанець
Michael & Sophia Rizanets ",,Unknown Publication,
1052,7,"Пані Чехова
Ms. Chehova",,Unknown Publication,
1084,7,"Григорій Клемент Шевчук
Gregory Clement Shewchuk",,Unknown Publication,
1094,7,"Марія Йонґ
Maria Young",,Unknown Publication,
1095,7,"Евген Юзвишин
Eugene Uzwyshyn",Graduation Photo,Unknown Publication,
1122,7,"Іван Ґуляс
Ivan [John] Gulas",,Unknown Publication,
1137,7,Canadian Tapestry Cover,Black Plate,"Canadian Tapestry - Poems by Doris Elizabeth Yanda
1970",Cover (black plate)
1143,7,Morzhyka Stitch Tutorial,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",58
1165,7,Illustration of Plants,Unknown Artist,"Далеке зблизька - Марія Струтинська
The Distant at Hand"" Author Марія Струтинська 
Editor: В. Марска  W. Marska 
1975",
1166,7,Illustration of Plants,Unknown Artist,"Далеке зблизька - Марія Струтинська
The Distant at Hand"" Author Марія Струтинська 
Editor: В. Марска  W. Marska 
1975",
1188,7,"Дмитро Винічук 
Dmytro Wynnychuk",,,
1237,7,"Пані Блоха
Ms. Bloha",,"25th anniversary concert program
1968",
1280,7,UWAC - Group Photo,"Lesia Ukrainka Branch. Candiac, SK Group Photo
1951",Twenty Five Years of UWAC 1926-1951,418
1297,7,"UWAC - Watson, SK  ","Lesia Ukrainka Branch. Watson, SK. 
1952",Twenty Five Years of UWAC 1926-1951,518
1340,7,"Дмитро Сурій
Dmytro Surry",,Unknown Publication,
1351,7,"Василь Мазуренко
William Mazurenko",,Unknown Publication,
1426,7,Graduation Photos,Graduating class of 1944-1945 from the Peter Mohyla Ukrainian Institute in Saskatoon.,Unknown Publication,
1443,7,Graduation Photos,"Graduation class from the Peter Mohyla Ukrainian Institute in Saskatoon, SK 
(date unknown).",Unknown Publication,
1607,7,Ukrainian School Children,"""Sobor St. Pokrovy"". Winnipeg, MB",Unknown Publication,
1610,7,School Children & Teachers  ,"Displaced Person's Camp 
Europe, 1948",Unknown Publication,
1625,7,Crowning CYMK Queen,Mr. Andrew Melnychuk crowning Victoria Wynnychuk.,Unknown Publication,
1708,7,Kolomeyka,Ukrainian folk dance performed in social settings,Unknown Publication,
1790,7,"""Salut to the Wisdom""","Choreographed by Maria Pasternakova, danced by her pupils. ","Українська жінка в хореографії - Пастернакова, Марія  
Ukrainian Woman in Choreography by Maria Pasternakova
 (1963) ",197
1827,kinda 7? might be duplicate of 2011? ask larisa,Group Portrait,Unidentified,Unknown Publication,
1870,7,The Table of Oblation,Unidentified,Unknown Publication,
2011,7,"Group Photo
Трудо №2
Trudo Number Two",Unidentified,Unknown Publication,
2065,7,Tryzub in a Maple Leaf,Logo,Unknown Publication,
2133,7,National Council Meeting,"Delegates in Regina, 1947.",Unknown Publication,
2139,7,Editors of Doroshenko's Memoirs,"Lviv, 1935",Unknown Publication,
2145,7,Ukrainian Dancers,Illustration by Wadym Dobrolige,Traditional Ukrainian Cookery by Savella Stechishin (1957),68
2195,7,UWAC Group Photo,"O. Basaraba Branch - Wakaw, SK 
1951",Twenty Five Years of UWAC 1926-1951,459
2203,7,UWAC Group Photo,"Knahynia Olha Branch, Prince Albert, SK",Twenty Five Years of UWAC 1926-1951,466
2279,7, Embroidery Pattern,Hardangar Stitch,Ukrainian Embroidery Designs and Stitches  (1957),47
2280,7,Embroidery Sample  ,Fig. 38,Ukrainian Embroidery Designs and Stitches  (1957),34
2298,7,Food Display,,Unknown Publication,
2392,7,Group Photo,Unidentified,Unknown Publication,
2415,7,Group Photo,Unidentified,Unknown Publication,
2508,7,Group Photo,"Montreal, 1948.",Unknown Publication,
2514,7,"Пан і Пані Петро Гриник
Mr. & Mrs.  Petro & Hrynyk",,Unknown Publication,
2549,7,Group Photo,Unidentified,Unknown Publication,
2611,7,Womens Group Photo,Unidentified,Unknown Publication,
2616,7,Group Photo,Unidentified,Unknown Publication,
2669,7,Group Photo,Unidentified,Unknown Publication,
2675,7,Group Photo,Unidentified,Unknown Publication,
2693,7,Two Women,Unidentified,Unknown Publication,
2721,7,Group Photo,Unidentified,Unknown Publication,
2723,7,Group Photo,Unidentified,Unknown Publication,
2806,7,Award Presentation,"Woman Receiving a Ribbon Award
Unidentified",Unknown Publication,
2811,7,Group Photo,Unidentified,Unknown Publication,
2819,7,Group Photo,Unidentified,Unknown Publication,
2826,7,Group Photo,Unidentified,Unknown Publication,
2831,7,Group Photo,Unidentified,Unknown Publication,
2838,7,Group Photo,Unidentified,Unknown Publication,
2841,7,Ukrainian Dancers ,Unidentified,Unknown Publication,
2886,7, UWAC Group Photo,"t John's Cathedral in Edmonton, AB. The photo is taken in the Museum. The women in the photo Sitting from L to R  ?, Pearl Malychy, ?, Mary Sulyma, ?, ?, Mrs. Janis, Emma Verchomin,  Back row L to R: Stephania Paush, Mrs. Shymaliuk, ? Nellie Seniw, ? , Mrs Baziuk, Mrs Ewasiuk, Anna Zwozdesky, ?",Unknown Publication,
2899,7,Group Photo,Unknown Event,Unknown Publication,
2912,7,Event Photo,Unknown Event,Unknown Publication,
2951,7,Theatre Performance,Unknown Event and Location,Unknown Publication,
3069,7,Fashion Illustration,Illustrated by Wadym Dobrolige,Promin June 1967,32
3085,7,Embroidery Pattern,Yavorivka stitch.,Promin June 1965,31
3090,7,Elaine Verchomin ,Modeling an Embroidered Dress,Promin May 1964,
3112,7,"""My Mother""",Scuplture by Y. I. Bilostotsky.,Promin May 1963,cover
3119,7,Embroidered Purse,"Submitted by Ukrainian Museum of Canada, Saskatoon branch. Embroiderd by Sofia Senyshyn.",Promin June 1962,27
3120,7,Embroidery Pattern,"Reprint from the Journal ""Нова Хата"" [New Home] 
1938",Promin March 1962,32
3125,7,Embroidery Pattern,From the Ukrainian Museum of Canada in Saskatoon. Submitted Maria Burak.,Promin August 1962,31
3142,7,Embroidery Pattern,,Promin September 1977,41
3158,7,"Embroidery Pattern from Central Ukraine ""Polubytok""","Central Ukraine ""Polubytok""",Promin November 1972,32
3171,7,Women in Ukrainian Coats ,Illustration by Luba Panchenko,Promin October 1973,cover
3189,7,Floral Embroidery Pattern,Submitted by UMC-Ontario. Drawn by Ivanna Wachna.,Promin July-August 1984,
3200,7,Nativity Scene,Unknown Artist,Promin January 1976,cover
3219,7,Embroidery Pattern,Drawn and submitted  by Ivanna Wachna.,Promin November 1980,32
3227,7,Embroidery Pattern,,Promin January 1970,20
3254,7,Embroidery Pattern,,Promin,
3388,7,Kiptar (Vest),"Back of a kiptar from the village of Usterik, Ukraine",Promin October 1974,20
3394,7,"""Three Heads""","Oil on canvas, painted by Halyna Nowakivska.",Ukrainians in Canada (1st edition) by Olha Woycenko 1967,160 i7
3395,7,St. Michael's Ukrainian Catholic Church,Location Unknown,Ukrainians in Canada (1st edition) by Olha Woycenko 1967,160 i3
3403,7,Iconostas ,"in St. Vladimir & Olga Cathedral in Winnipeg, MB
By Sviatoslav Hordynsky",Ukrainians in Canada (1st edition) by Olha Woycenko 1967,160 i4
3409,7,Hutzul Ceramics,Unknown Artisans,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",9
3419,7,His Grace Cardinal Slipyi," Visitation to the office of the Ukrainian Canadian Congress in Winnipeg, 1968.",Unknown Publication,
3426,7,Group Photo With Dr. Yar Slavutych,,Unknown Publication,
3432,7,Meadow,Woodcut by an Unknown Artist,Promin May 1974,cover
3433,7,"""Ridna Maty Moia""",Painting by F. Zahorodiuk for the song composed by Andriy Malysh ,Promin May 1970,cover
3442,7,"""Easter""",Graphic illustration by an Unknown Artist,Promin May 1960,23
3455,7,50 Years of UWAC,Graphic design by Maria Prokopiw,Promin August-September-October 1977,cover
3475,7,Children's Doll,Graphic illustration by an Unknown Artist,Promin July 1966,21
3514,7,Graduate Portraits,"Peter Mohyla Institute, Saskatoon, SK 
1939-1940.
",Unknown Publication,
3566,7,St. Mary's Ukrainian Orthodox Church,Cover Photo,"25th anniversary of St. Mary's Ukrainian Greek Orthodox Church, 1946-71 North Surrey, B.C.
1971",cover
3577,7,Group Photo,Unidentified,Unknown Publication,
3670,7,Church Service Diptych,Top photo is of the congregation. Bottom photo is of unidentified priest.,Unknown Publication,
3675,7,Group Photo,St. Andrews College,Unknown Publication,
3681,7,Childrens Concert,Unidentified Event and Location,Unknown Publication,
3684,7,Group Photo,Unidentified Children's  Event and Location,Unknown Publication,
3704,7,Group photo  ,Unidentified Ukrainian dancers on stage,Unknown Publication,
3705,7,Children in Sadochok,Unidentified Location,Unknown Publication,
3721,7,Portrait of a Man,Unidentified ,Unknown Publication,
3780,7,Portrait of a Man,Unidentified ,Unknown Publication,
3806,7,Portrait of a Man,Unidentified ,Unknown Publication,
3807,7,Portrait of a Man,Unidentified ,Unknown Publication,
3834,7,Michael Bodnar,,Unknown Publication,
3895,7,Portrait of a Man,Unidentified ,Unknown Publication,
3905,7,Taras Ferley,"Community Leader, Educator, publisher and municipal official, MLA (1916-1920). Founding President of Ukrainian National Home in Winnipeg.","History book of the Ukrainian National Home in WInnipeg 1946-71, edited by D. Doroshenko.",8
3931,7,Portrait of a Woman,Unidentified ,Unknown Publication,
3933,7,Portrait of a Woman,Unidentified ,Unknown Publication,
3943,7,Portrait of a Young Woman,Unidentified ,Unknown Publication,
3999,7,Portrait of a Young Woman,Unidentified ,Unknown Publication,
4012,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4046,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4092,7,Portrait of a Woman,Unidentified ,"Вісник
The Herald",
4103,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4144,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4146,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4162,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4164,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4181,7,Graduation Photos,Unidentified ,Unknown Publication,
